Industrial_Sector,Company,State,City,Address,Complement,Neighborhood,Zip_Code,Contact,Telephone,E_Mail,Website_URL,Paid,Extra_Info
AÇÚCAR E ÁLCOOL,ACIP APARELHOS DE CONTROLE E IND.DE PRECISÃO LTDA.,SÃO PAULO,VÁRZEA PAULISTA,RUA MARIA ELCI BERTELLI 500,,CENTRO,13225-575,VANDERMIR FRANCESCONI JÚNIOR,(11)4493-6260,vendasacip@acip.ind.br,http://acip.ind.br/,Sim,CNPJ   50971365000131   Pasta   3687   Nº Associação   3395   Data de Fundação   13/06/1969   Data de Associação   09/02/2006   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,ALFA LAVAL LTDA.,SÃO PAULO,SÃO PAULO,AVENIDA MUTINGA 4935,"KM 14,5 - EDIFÍCIO A",VILA JAGUARA,05110-903,CAROLINA GUJEF,(11)5188-6000,alfalaval.br@alfalaval.com,http://www.alfalaval.com.br,Sim,CNPJ   43474212000385   Pasta   163   Nº Associação   244   Data de Fundação   23/12/1959   Data de Associação   25/07/1980   Tipo de CNPJ   Filial   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,CONFAB INDUSTRIAL SOCIEDADE ANONIMA,SÃO PAULO,PINDAMONHANGABA,RUA DOUTOR GONZAGA 1381,,MOREIRA CÉSAR,12440-900,ANA COMITRI,(12)3644-9123,acomitri@tenaris.com,http://www.tenaris.com,Sim,CNPJ   60882628001323   Pasta   1202   Nº Associação   565   Data de Fundação   17/04/1942   Data de Associação   14/12/1973   Tipo de CNPJ   Filial   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,EQUIPALCOOL SISTEMAS EIRELI,SÃO PAULO,SERTÃOZINHO,RUA SANTO ONOFRE 299,,VILA INDUSTRIAL,14177-005,ALESSANDRA FABÍOLA BERNUZZI,(16)3513-8046,equipalcool@equipalcool.com.br,http://www.equipalcool.com.br,Sim,CNPJ   52853181000100   Pasta   641   Nº Associação   2473   Data de Fundação   26/07/1983   Data de Associação   08/05/1992   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,FÁBRICA DE ALAMBIQUES SANTA EFIGÊNIA LTDA. - EPP,MINAS GERAIS,ITAVERAVA,RUA SANTO ANTÔNIO 773,,BARRA,36440-000,JUSSARA HENRIQUES DE MELLO,(31)3757-1137,contato@alambiquessantaefigenia.com.br,http://www.alambiquessantaefigenia.com.br,Sim,CNPJ   04049368000103   Pasta   13435   Nº Associação   4571   Data de Fundação   31/08/2000   Data de Associação   03/10/2013   Data de Desligamento   24/01/2019   Data de Reintegração   22/02/2019   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,JDF CENTRIFUGAS EIRELI,SÃO PAULO,SANTA BÁRBARA D' OESTE,RUA TUPIS 3452,,PARQUE INDUSTRIAL DE CILLO,13457-052,JAILSON JOSÉ DA FRANÇA,(19)2108-5000,contato@jdf.com.br,http://www.jdf.com.br,Sim,CNPJ   02038397000136   Pasta   6580   Nº Associação   3671   Data de Fundação   15/08/1997   Data de Associação   22/11/2007   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,LIMANA POLI SERVIÇOS EIRELI - ME,RIO GRANDE DO SUL,JAGUARI,RUA SETE DE SETEMBRO 1840,,CENTRO,97760-000,CAMILA BUZATTI,(55)3255-1438,limana@limana.com.br,http://www.limana.com.br,Sim,CNPJ   91217349000135   Pasta   6107   Nº Associação   4198   Data de Fundação   18/06/1986   Data de Associação   17/03/2011   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,LINDNER TECHNO SYSTEMS EIRELI,SANTA CATARINA,JOAÇABA,RUA PREFEITO NORMELIO ZILIO 75,,DISTRITO INDUSTRIAL,89600-000,SIMON VORTOLUCCI,(49)3527-8700,comercial@lindnerts.com,http://www.lindnerts.com,Sim,CNPJ   03852406000190   Pasta   15960   Nº Associação   5818   Data de Fundação   01/06/2000   Data de Associação   19/07/2021   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,MASIERO INDUSTRIAL S/A.,SÃO PAULO,JAÚ,RODOVIA JAÚ DOIS CÓRREGOS S/N,KM 06 - CAIXA POSTAL 218,7º DISTRITO INDUSTRIAL,17201-970,PAULO BRASIL MASIERO,(14)3602-3800,masiero@masieroindustrial.com.br,http://www.masieroindustrial.com.br,Sim,CNPJ   50751643000145   Pasta   76   Nº Associação   2598   Data de Fundação   24/01/1924   Data de Associação   09/08/1994   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,MECAT FILTRAÇÕES INDUSTRIAIS LTDA.,GOIÁS,ABADIA DE GOIÁS,RODOVIA BR 060 S/Nº,KM 213 + 150 METROS,CENTRO,75345-000,WESLEY HENRIQUE DE LIMA SOARES DE MORAES,(17) 3343-4010,mecat@mecat.com.br,http://www.mecat.com.br,Sim,CNPJ   37296449000159   Pasta   3523   Nº Associação   2230   Data de Fundação   13/01/1992   Data de Associação   13/02/1992   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,MFW MÁQUINAS LTDA.,SÃO PAULO,ITAPIRA,RUA VEREADOR NELSON GUIRALDELLI 130,,DISTRITO INDUSTRIAL JUVENAL LEITE,13977-015,MÁRCIO NOGUEIRA,(19)3863-3021,vendas@mfwmaquinas.com.br,http://www.mfwmaquinas.com.br,Sim,CNPJ   49911787000132   Pasta   2274   Nº Associação   3873   Data de Fundação   13/12/1960   Data de Associação   05/03/2009   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,NONINO INDÚSTRIA E COMÉRCIO DE IMPLEMENTOS AGRÍCOLAS LIMITADA,SÃO PAULO,BEBEDOURO,RUA JOÃO GUTEMBERG 310,,DISTRITO INDUSTRIAL,14711-134,IRACI GONÇALVES,(17)3344-5500,nonino@nonino.ind.br,http://www.nonino.ind.br,Sim,CNPJ   54196225000194   Pasta   16197   Nº Associação   6118   Data de Fundação   28/01/1985   Data de Associação   19/04/2023   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AÇÚCAR E ÁLCOOL,OFICINA SÃO JORGE LTDA.,MINAS GERAIS,ITAÚNA,RUA BELA VISTA 82,,ANTUNES,35680-079,JAMILTON MOREIRA DO CARMO,(37)3243-4599,contato@equipamentossaojorge.com.br,http://www.equipamentossaojorge.com.br,Sim,CNPJ   16815250000110   Pasta   10411   Nº Associação   4512   Data de Fundação   23/01/1973   Data de Associação   09/05/2013   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
