Sector,Company,State,City,Neighborhood,Address,Complement,Zip_Code,Contact,Telephone,E_Mail,Website_URL,Paid
AÇÚCAR E ÁLCOOL,ACIP APARELHOS DE CONTROLE E IND.DE PRECISÃO LTDA.,SÃO PAULO,VÁRZEA PAULISTA,CENTRO,RUA MARIA ELCI BERTELLI 500,,13225-575,VANDERMIR FRANCESCONI JÚNIOR,(11)4493-6260,vendasacip@acip.ind.br,http://acip.ind.br/,Sim
AÇÚCAR E ÁLCOOL,ALFA LAVAL LTDA.,SÃO PAULO,SÃO PAULO,VILA JAGUARA,AVENIDA MUTINGA 4935,"KM 14,5 - EDIFÍCIO A",05110-903,CAROLINA GUJEF,(11)5188-6000,alfalaval.br@alfalaval.com,http://www.alfalaval.com.br,Sim
AÇÚCAR E ÁLCOOL,CONFAB INDUSTRIAL SOCIEDADE ANONIMA,SÃO PAULO,PINDAMONHANGABA,MOREIRA CÉSAR,RUA DOUTOR GONZAGA 1381,,12440-900,ANA COMITRI,(12)3644-9123,acomitri@tenaris.com,http://www.tenaris.com,Sim
AÇÚCAR E ÁLCOOL,EQUIPALCOOL SISTEMAS EIRELI,SÃO PAULO,SERTÃOZINHO,VILA INDUSTRIAL,RUA SANTO ONOFRE 299,,14177-005,ALESSANDRA FABÍOLA BERNUZZI,(16)3513-8046,equipalcool@equipalcool.com.br,http://www.equipalcool.com.br,Sim
AÇÚCAR E ÁLCOOL,FÁBRICA DE ALAMBIQUES SANTA EFIGÊNIA LTDA. - EPP,MINAS GERAIS,ITAVERAVA,BARRA,RUA SANTO ANTÔNIO 773,,36440-000,JUSSARA HENRIQUES DE MELLO,(31)3757-1137,contato@alambiquessantaefigenia.com.br,http://www.alambiquessantaefigenia.com.br,Sim
AÇÚCAR E ÁLCOOL,JDF CENTRIFUGAS EIRELI,SÃO PAULO,SANTA BÁRBARA D' OESTE,PARQUE INDUSTRIAL DE CILLO,RUA TUPIS 3452,,13457-052,JAILSON JOSÉ DA FRANÇA,(19)2108-5000,contato@jdf.com.br,http://www.jdf.com.br,Sim
AÇÚCAR E ÁLCOOL,LIMANA POLI SERVIÇOS EIRELI - ME,RIO GRANDE DO SUL,JAGUARI,CENTRO,RUA SETE DE SETEMBRO 1840,,97760-000,CAMILA BUZATTI,(55)3255-1438,limana@limana.com.br,http://www.limana.com.br,Sim
AÇÚCAR E ÁLCOOL,LINDNER TECHNO SYSTEMS EIRELI,SANTA CATARINA,JOAÇABA,DISTRITO INDUSTRIAL,RUA PREFEITO NORMELIO ZILIO 75,,89600-000,SIMON VORTOLUCCI,(49)3527-8700,comercial@lindnerts.com,http://www.lindnerts.com,Sim
AÇÚCAR E ÁLCOOL,MASIERO INDUSTRIAL S/A.,SÃO PAULO,JAÚ,7º DISTRITO INDUSTRIAL,RODOVIA JAÚ DOIS CÓRREGOS S/N,KM 06 - CAIXA POSTAL 218,17201-970,PAULO BRASIL MASIERO,(14)3602-3800,masiero@masieroindustrial.com.br,http://www.masieroindustrial.com.br,Sim
AÇÚCAR E ÁLCOOL,MECAT FILTRAÇÕES INDUSTRIAIS LTDA.,GOIÁS,ABADIA DE GOIÁS,CENTRO,RODOVIA BR 060 S/Nº,KM 213 + 150 METROS,75345-000,WESLEY HENRIQUE DE LIMA SOARES DE MORAES,(17) 3343-4010,mecat@mecat.com.br,http://www.mecat.com.br,Sim
AÇÚCAR E ÁLCOOL,MFW MÁQUINAS LTDA.,SÃO PAULO,ITAPIRA,DISTRITO INDUSTRIAL JUVENAL LEITE,RUA VEREADOR NELSON GUIRALDELLI 130,,13977-015,MÁRCIO NOGUEIRA,(19)3863-3021,vendas@mfwmaquinas.com.br,http://www.mfwmaquinas.com.br,Sim
AÇÚCAR E ÁLCOOL,NONINO INDÚSTRIA E COMÉRCIO DE IMPLEMENTOS AGRÍCOLAS LIMITADA,SÃO PAULO,BEBEDOURO,DISTRITO INDUSTRIAL,RUA JOÃO GUTEMBERG 310,,14711-134,IRACI GONÇALVES,(17)3344-5500,nonino@nonino.ind.br,http://www.nonino.ind.br,Sim
AÇÚCAR E ÁLCOOL,OFICINA SÃO JORGE LTDA.,MINAS GERAIS,ITAÚNA,ANTUNES,RUA BELA VISTA 82,,35680-079,JAMILTON MOREIRA DO CARMO,(37)3243-4599,contato@equipamentossaojorge.com.br,http://www.equipamentossaojorge.com.br,Sim
AÇÚCAR E ÁLCOOL,RANE PIEROTI FERREIRA NETO-ME,MINAS GERAIS,VISCONDE DO RIO BRANCO,CENTRO,RUA DOUTOR ALTINO PELUSO 100,,36520-000,PAULO EDUARDO FONSECA,(32)3551-1386,contato@ranipierotti.com.br,http://www.ranipierotti.com.br,Sim
AÇÚCAR E ÁLCOOL,RELCO INDÚSTRIA E COMÉRCIO DE EVAPORAÇÃO E SECAGEM LTDA.,SÃO PAULO,SÃO CAETANO DO SUL,CERÂMICA,ALAMEDA CAULIM 115,SALA 1514,09531-195,RENATA DI VITO MANAIA CONDE,(11)4118-3233,info@relco.net,http://www.relco.net,Sim
AÇÚCAR E ÁLCOOL,RVC ATUADORES E VÁLVULAS LTDA - EPP,SÃO PAULO,SÃO PAULO,JARDIM DAS GRAÇAS,RUA ENGENHEIRO JOSE PASTORE 120,,02714-050,RICARDO CIZIKS,(11)2239-3953,vendas@rvc.com.br,https://rvc.com.br,Sim
AÇÚCAR E ÁLCOOL,AAHBRAN ENGENHARIA MANUTENÇÃO E MONTAGEM INDUSTRIAL LTDA.,SÃO PAULO,PIRACICABA,DOIS CORREGOS,RODOVIA MARGARIDA DA GRAÇA MARTINS S/Nº,KM SP 135 - KM 17 200M,13420-280,ANTONIO GROPPO,(19)3414-2170,contato@abnequipamentos.com.br,https://abnequipamentos.com.br/,Não
AÇÚCAR E ÁLCOOL,ALUMINOX EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,MOCOCA,DISTRITO INDUSTRIAL II,RUA JOSÉ OLETO 580,,13739-070,PAULO ELIAS VICENTE,(19)3665-2483,vendas@aluminoxmontagem.com.br,http://www.aluminoxmontagem.com.br,Não
AÇÚCAR E ÁLCOOL,AMPLA INDÚSTRIA METALÚRGICA LTDA.,RIO GRANDE DO SUL,GETÚLIO VARGAS,CENTRO,RUA ALEXANDRE BRAMATTI 673,,99900-000,TIAGO ANZOLIN,(41)3525-9370,ampla@ampla.ind.br,http://www.ampla.ind.br,Não
