Transversal_Sector,Company,State,City,Address,Complement,Neighborhood,Zip_Code,Contact,Telephone,E_Mail,Website_URL,Paid,Extra_Info
AGITADOR,AGITEC EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,SÃO PAULO,RUA DOUTOR FERREIRA LOPES 452,,SANTO AMARO,04671-010,MARIA ESTELA SILVA FORTIM,(11)5548-9844,agitec@agitec.com.br,http://www.agitec.com.br,Sim,CNPJ   50776665000160   Pasta   1901   Nº Associação   2542   Data de Fundação   12/07/1982   Data de Associação   13/09/1993   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,AQUAMEC INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS S/A,SÃO PAULO,ITU,AVENIDA TIRADENTES 2620,,JARDIM DAS INDUSTRIAS,13309-320,MARIANA OLIVEIRA,(11)4059-9999,contato@aquamecbrasil.com.br,https://www.aquamecbrasil.com.br/,Sim,CNPJ   21998472000155   Pasta   15338   Nº Associação   4939   Data de Fundação   06/03/2015   Data de Associação   18/11/2015   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,BOMAX NO BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA.,SÃO PAULO,TABOÃO DA SERRA,RUA EUROPA 30,,PARQUE INDUSTRIAL DACI,06785-360,ALBERTO RODRIGUEZ ALVAREZ,(11)4138-8800,bomax@bomax.com.br,http://www.bomax.com.br,Sim,CNPJ   52559499000175   Pasta   1011   Nº Associação   1731   Data de Fundação   05/02/1983   Data de Associação   08/05/1987   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,EQUIPALCOOL SISTEMAS EIRELI,SÃO PAULO,SERTÃOZINHO,RUA SANTO ONOFRE 299,,VILA INDUSTRIAL,14177-005,ALESSANDRA FABÍOLA BERNUZZI,(16)3513-8046,equipalcool@equipalcool.com.br,http://www.equipalcool.com.br,Sim,CNPJ   52853181000100   Pasta   641   Nº Associação   2473   Data de Fundação   26/07/1983   Data de Associação   08/05/1992   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,FIBERMAQ EQUIPAMENTOS LTDA,SÃO PAULO,SÃO PAULO,RUA JOSÉ GENIOLLI 499,,JARDIM CASABLANCA,05842-090,CHRISTIAN MAURO RAMOS DE ANDRADE,(11)5511-9001,falecom@fibermaq.com.br,http://www.fibermaq.com.br,Sim,CNPJ   50656156000101   Pasta   1739   Nº Associação   1739   Data de Fundação   01/08/1978   Data de Associação   29/02/2008   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,GIL EQUIPAMENTOS INDUSTRIAIS LIMITADA,SÃO PAULO,RIBEIRÃO PRETO,RUA GUIANA FRANCESA 720/740,,VILA MARIANA,14075-220,ANTÔNIO GARBELOTTI FILHO,(16)2138-2821,admsec@gil.com.br,http://www.gil.com.br,Sim,CNPJ   46707089000121   Pasta   404   Nº Associação   1438   Data de Fundação   03/08/1974   Data de Associação   08/11/1985   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,HAAS DO BRASIL INDÚSTRIA DE MÁQUINAS LTDA,PARANÁ,CURITIBA,AVENIDA JUSCELINO K. DE OLIVEIRA 1105,,CIC,81280-140,MONICA PACHECO,(47)98837-0577,haasbr@haas.com,http://www.buhlergroup.com,Sim,CNPJ   42599019000146   Pasta   2125   Nº Associação   1138   Data de Fundação   26/04/1977   Data de Associação   14/08/1981   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,INOX BIASO INDÚSTRIA E COMÉRCIO LTDA. EPP,MINAS GERAIS,LAMBARI,RUA PREFEITO BERNARDO AROEIRA 2099,,CAMPO BELO,37480-000,DANIELA MARIA DE FRANÇA AGUIAR DE BIASO,(35)3271-9191,comercial@inoxbiaso.com.br,http://www.inoxbiaso.com.br,Sim,CNPJ   09029365000113   Pasta   12092   Nº Associação   4963   Data de Fundação   03/08/2007   Data de Associação   17/02/2016   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,LIQUOS AMBIENTAL EQUIPS. E SIST. PARA SAN. BÁSICO AMBIENTAL LTDA,SÃO PAULO,VINHEDO,RUA ALZIRO CICCHETTO 45,,DISTRITO INDUSTRIAL BENEDITO STORANI,13288-181,ALEXANDRE PEROSA RAVAGNANI,(19)99896-9876,alexandre@liquos.com.br,http://sem site,Sim,CNPJ   33979330000120   Pasta   17624   Nº Associação   5506   Data de Fundação   19/06/2019   Data de Associação   03/10/2019   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Sim
AGITADOR,LOCCUS DO BRASIL LTDA.,SÃO PAULO,COTIA,RUA SANTA MÔNICA 820,,PARQUE INDUSTRIAL SAN JOSÉ,06715-865,JOHNNY SERNA,(11)5514-3290,loccus@loccus.com.br,http://www.loccus.com.br,Sim,CNPJ   05094718000108   Pasta   16496   Nº Associação   5697   Data de Fundação   17/05/2002   Data de Associação   17/11/2020   Tipo de CNPJ   Matriz   Afiliado ao Sindimaq   Não
