product_name,company_name,address,phone_number,e_mail,website
ABRACADEIRAS P/ELETRODUTOS,LEGRAND BRASIL LTDA,"R GERSON ANDREIS 1.255, 1255 , Distrito Industrial , Caxias do Sul | 95112-130",(54) 21019999,br-spl-fiscal@legrand.com.br,http://www.legrand.com.br
ABRACADEIRAS P/ELETRODUTOS,TRAMONTINA ELETRIK S.A.,"RSC 470, 0 S/N / KM 230, Triangulo , Carlos Barbosa | 95185-000",(54) 34618200,alexandre.mocellin@tramontina.com; cristiano.veronese@tramontina.com,http://www.tramontina.com.br
ABRIDORES DE GARRAFA,METALDAVID METALURGICA LTDA,"DALTON LAHN DOS REIS, 150 B, Distrito Industrial , Caxias do Sul | 95112-090",(54) 32271788,rh@metaldavi.com.br,http://www.metaldavi.com.br
ABRIDORES DE GARRAFA,TRAMONTINA SA CUTELARIA,"25 DE SETEMBRO, 1020 , Triangulo , Carlos Barbosa | 95185-000",(54) 34618400,ademir.beal@tramontina.com,http://www.tramontina.net
ABRIDORES DE LATA,METALDAVID METALURGICA LTDA,"DALTON LAHN DOS REIS, 150 B, Distrito Industrial , Caxias do Sul | 95112-090",(54) 32271788,rh@metaldavi.com.br,http://www.metaldavi.com.br
ABRIDORES DE LATA,TRAMONTINA SA CUTELARIA,"25 DE SETEMBRO, 1020 , Triangulo , Carlos Barbosa | 95185-000",(54) 34618400,ademir.beal@tramontina.com,http://www.tramontina.net
ABRIDORES DE LATA,MARTINAZZO INDUSTRIA E COMERCIO LTDA,"NATANO GIONGO, 410 , ALFANDEGA , Garibaldi | 95720-000",(54) 34649900,administrativo@martinazzo.com.br;financeiro@martinazzo.com.br; contato@martinazzo.com.br,http://www.martinazzo.com.br
ACABAMENTOS P/MOVEIS,BASE COMPONENTES INDUSTRIAIS LTDA,"R JULIO JOAO EBERLE, 421 , Santa Catarina , Caxias do Sul | 95030-765",(54) 30229600,financeiro@basehs.com.br,http://www.basecomponentes.com.br
ACESSORIOS P/CADEIRAS,DIMOVI INDUSTRIA METALURGICA LTDA,"CESARE CAMBRUZZI, 1309 , Santa Catarina , Caxias do Sul | 95032-610",(54) 30210697,dimovi@dimovi.com.br,http://www.proaramado.com.br
ACESSORIOS P/COLHEITADEIRAS,SUSIN FRANCESCUTTI METALURGICA LTDA,"LUIZ FRANCESCUTTI, 232 , Pioneiro , Caxias do Sul | 95042-595",(54) 32248600,casilva@sufran.com.br,http://www.sufran.com.br
ACESSORIOS P/DISJUNTORES,SOPRANO INDUSTRIA ELETROMETALURGICA LTDA,"RODOVIA ERS 122, 0 S/N / KM 61, Industrial , Farroupilha | 95180-000",(54) 21096000,flaviaperoni@soprano.com.br,http://www.soprano.com.br
ACESSORIOS P/ MOTO,MA ACESSORIOS LTDA.,"ROMANO CANALLI, 1128 , Ṣo Ciro , Caxias do Sul | 95059-140",(54) 32900200,rh@mamotos.com.br,http://www.mamotos.com.br
ACESSORIOS P/MOVEIS,MAGGIFAR INDUSTRIA METALURGICA LTDA,"CACHOEIRINHA, 97 , NOVA VICENZA , Farroupilha | 95180-000",(54) 32684597,,http://www.maggifar.com.br
ACESSORIOS P/MOVEIS,PILATI MOVEIS LTDA,"PADRE FEIJO, 870 PREDIO, Centro , Ṣo Marcos | 95190-000",(54) 32918600,rh@pilati.com.br,http://www.pilati.com.br
ACESSORIOS P/MOVEIS,ROAL INDUSTRIA METALURGICA LTDA,"ALICE CESTARI MANTOVANI, 611 , Desvio Rizzo , Caxias do Sul | 95112-290",(54) 32892400,vendas@roal.com.br; rh1@roal.com.br; roberta.paim@roal.com.br,http://www.roal.com.br
ACESSORIOS P/MOVEIS,SOPRANO INDUSTRIA ELETROMETALURGICA LTDA,"RODOVIA ERS 122, 0 S/N / KM 61, Industrial , Farroupilha | 95180-000",(54) 21096000,flaviaperoni@soprano.com.br,http://www.soprano.com.br
ACESSORIOS P/MOVEIS,VENTILARES METALURGICA LTDA,"DALTON LAHN DOS REIS, 150 FUNDOS, Desvio Rizzo , Caxias do Sul | 95112-090",(54) 32271788,,
ACESSORIOS P/MOVEIS,ZAMBONI INDUSTRIA E COMERCIO DE PECAS LTDA,"17 DE JULHO, 1738 , NOSSA SRA. APARECIDA , Flores da Cunha | 95270-000",(54) 32923740,arizamboni@hotmail.com,
ACESSORIOS P/MOVEIS,DIMOVI INDUSTRIA METALURGICA LTDA,"CESARE CAMBRUZZI, 1309 , Santa Catarina , Caxias do Sul | 95032-610",(54) 30210697,dimovi@dimovi.com.br,http://www.proaramado.com.br
